case_id,dice_score
1,0.0
2,0.18752315640449524
3,0.5976834893226624
4,0.5207514762878418
5,0.6671404838562012
6,0.6641324162483215
7,0.6308575868606567
8,0.6695441007614136
9,0.7426764965057373
10,0.6601613759994507
11,0.706079363822937
12,0.7699089050292969
13,0.37369129061698914
14,0.0
15,0.7026458978652954
16,0.6509068608283997
17,0.0959588810801506
18,0.6095086932182312
19,0.6598333716392517
20,0.3013998866081238
21,0.6568968892097473
22,0.6498863101005554
23,0.4213368892669678
24,0.5861978530883789
25,0.478518009185791
26,0.44306057691574097
27,0.21229377388954163
28,0.6269536018371582
29,0.6240904927253723
30,0.6213448643684387
31,0.40304622054100037
32,0.0
33,0.8055668473243713
34,0.6415502429008484
35,0.43197542428970337
36,0.2935311198234558
37,0.7661139369010925
38,0.6487976312637329
39,0.5617705583572388
40,0.7611125111579895
41,0.0
42,0.8001604676246643
43,0.6900538802146912
44,0.44682201743125916
45,0.6037957668304443
46,0.65667724609375
47,0.7623101472854614
48,0.7221948504447937
49,0.5896866917610168
50,0.5390865802764893
51,0.6506615877151489
52,0.8100740313529968
53,0.12549057602882385
54,0.4647282660007477
55,0.0
56,0.5038748383522034
57,0.7592848539352417
58,0.7188226580619812
59,0.44651561975479126
60,0.5337464809417725
61,0.6784746050834656
62,0.38575324416160583
63,0.5514881610870361
64,0.28411996364593506
65,0.0
66,0.6728079319000244
67,0.6041142344474792
68,0.0
69,0.4260643422603607
70,0.02762291021645069
71,0.7528736591339111
72,0.6890192627906799
73,0.4484134912490845
74,0.5651811957359314
75,0.6575222015380859
76,0.0
77,0.785314679145813
78,0.7124838829040527
79,0.6961774230003357
80,0.6408298015594482
